article_id,source_name,title,is_about_climate_change,is_skeptical_about_climate_change,cost_frame,opportunity_frame,overarching_sentiment,bias,country,adfontes_bias
96740,The Times of India,Climate funding fall shows action 'stalling' as needs grows: UN,True,False,True,True,cost,right-center,in,Middle
96742,Marketscreener.com,Shionogi : Section 3 Mechanisms Supporting SHIONOGI's Growth,True,False,True,True,cost,least biased,fr,
96743,Marketscreener.com,Cummins : Q3 2023 Earnings Presentation,True,False,True,False,cost,least biased,fr,
96757,The Times of India,Climate funding fall shows action 'stalling' as needs grows: UN,True,False,True,True,cost,right-center,in,Middle
96759,Marketscreener.com,S&P indicates it could cut Orsted's credit rating after losses,True,False,True,False,cost,least biased,fr,
96764,Marketscreener.com,CTCI : 11/2 CTCI Group 2023 4th Investor Conference (Online),True,False,True,True,opportunity,least biased,fr,
96770,Phys.Org,"Climate-induced loss is impeding human rights in the Pacific, new study finds",True,False,True,True,cost,pro-science,gb,Middle
96781,Marketscreener.com,Cummins names three experienced leaders to new roles,True,False,True,True,opportunity,least biased,fr,
96782,CNA,Climate experts warn of fossil fuel tactics at COP28,True,False,True,False,cost,least biased,sg,Middle
96783,Phys.Org,Why Hawaii became a hotbed of legal activism to protect the climate,True,False,True,True,cost,pro-science,gb,Middle
96794,Marketscreener.com,Philips and County Durham and Darlington NHS Foundation Trust collaborate on a sustainability blueprint to reduce carbon emissions and waste,True,False,True,True,cost,least biased,fr,
96808,GlobeNewswire,Tomorrow.Mobility charts a path to a better future with green and smart transportation,True,False,True,True,opportunity,least biased,us,
96837,GlobeNewswire,Oceana Canada Unveils Roadmap to Cut 1/3 of Canada's Single-Use Plastic Pollution,True,False,True,True,cost,least biased,us,
96839,The Times of India,"Southern Antarctic waters found to absorb as much heat as Atlantic, Pacific and Indian Ocean combined",True,False,True,True,balanced,right-center,in,Middle
96872,Phys.Org,Adult coral can handle more heat and keep growing thanks to heat-evolved symbionts,True,False,True,True,opportunity,pro-science,gb,Middle
96874,Phys.Org,Investigators examine shifts in coral microbiome under hypoxia,True,False,True,True,balanced,pro-science,gb,Middle
97440,Phys.Org,"Report: As climate impacts accelerate, finance gap for adaptation efforts at least 50% bigger than thought",True,False,True,True,cost,pro-science,gb,Middle
98964,Marketscreener.com,Quanta Services : Outlook Expectations Summary Q3 2023,True,False,True,True,cost,least biased,fr,
99167,Marketscreener.com,Molson Coors Beverage Company Reports 2023 Third Quarter Results,False,,,,,least biased,fr,
99205,Marketscreener.com,Barrick Keeps Key Projects On Track and Delivers Another Quarter of Improved Production and Costs,True,False,True,False,cost,least biased,fr,
100727,Phys.Org,Hydrogeologists develop innovative way to predict saltwater intrusion into groundwater,True,False,True,True,cost,pro-science,gb,Middle
100752,Marketscreener.com,Helix Energy : 2023 Corporate Sustainability Report,True,False,True,True,cost,least biased,fr,
100783,The Times of India,Sustainability leadership summit to release Bengaluru declaration on Saturday,True,False,True,True,cost,right-center,in,Middle
100850,Marketscreener.com,Shionogi : Section 4 Preformance and Data,True,False,True,False,cost,least biased,fr,
100995,Marketscreener.com,Stem Announces Third Quarter 2023 Results,True,False,True,True,opportunity,least biased,fr,
102298,GlobeNewswire,Vital Energy Reports Third-Quarter 2023 Financial and Operating Results,True,False,True,True,balanced,least biased,us,
102311,Marketscreener.com,Ivanhoe Mines Announces Updated Greenhouse Gas Assessment Confirming Kamoa-Kakula Copper Complex as the World's Lowest Carbon-emitting Major Copper Mine,True,False,True,False,cost,least biased,fr,
103529,Phys.Org,New centralized pollination portal for better global bee data creates a buzz,True,False,True,True,cost,pro-science,gb,Middle
103630,Phys.Org,"Warming world, widening gap: Climate change's toll on poverty and inequality in South Africa",True,False,True,True,cost,pro-science,gb,Middle
103823,Phys.Org,Seven dead as Western Europe hit by record winds of Storm Ciaran,True,False,True,True,cost,pro-science,gb,Middle
105118,Marketscreener.com,CON EDISON REPORTS 2023 THIRD QUARTER EARNINGS,True,False,True,True,cost,least biased,fr,
105199,GlobeNewswire,"Progressive Cavity Pump Market revenue to hit USD 6 Billion by 2035, says Research Nester",True,False,,,,least biased,us,
105250,Marketscreener.com,"IDACORP, Inc. Announces Third Quarter 2023 Results, Increases Bottom-End 2023 Earnings Guidance",True,False,,True,balanced,least biased,fr,
105306,Marketscreener.com,"Lindblad Expeditions Holdings, Inc. Reports 2023 Third Quarter Financial Results",True,False,True,False,cost,least biased,fr,
108178,CNA,Cheap electricity and jobs keep Serbia tied to coal,True,False,True,False,cost,least biased,sg,Middle
108460,The Times of India,Moving away from old SAARCy ways,True,False,True,True,cost,right-center,in,Middle
108697,Marketscreener.com,CNX Resources : Shapiro Administration and Leading Natural Gas Company CNX Resources Announce First-of-its-Kind Collaboration on Environmental Monitoring and Chemical Disclosures,True,False,True,True,cost,least biased,fr,
108795,Marketscreener.com,Shionogi : Section 3 Mechanisms Supporting SHIONOGI's Growth,True,False,True,True,cost,least biased,fr,
613,Phys.Org,Climate change main culprit for hot South American winter,True,False,True,False,cost,pro-science,gb,Middle
783,Phys.Org,"In 2020, 30% of the Pantanal was burned to cinders by wildfires",True,False,True,True,cost,pro-science,gb,Middle
1007,BBC News,"World shift to clean energy is unstoppable, IEA report says",True,False,True,True,cost,left-center,gb,Middle
1878,Gizmodo.com,"Lawn Equipment Spews ‘Shocking’ Amount of Air Pollution, New Data Shows",True,False,True,True,cost,left,us,Skews Left
2044,BBC News,Nevada lithium mine leads to 'green colonialism' accusations,True,False,True,False,cost,left-center,gb,Middle
2032,NPR,Want to fight climate change and food waste? One app can do both,True,False,True,True,cost,left-center,us,Middle
2079,ReadWrite,Google shares progress on its sustainability tools,True,False,True,True,opportunity,,us,
2237,BBC News,UK net zero targets 'harder to achieve' after PM's speech - advisers,True,False,True,True,cost,left-center,gb,Middle
2653,BBC News,Mangrove forests: Steely gaze of young tigress wins photo awards,True,False,True,True,cost,left-center,gb,Middle
2881,Marketscreener.com,Kibali Drives Sustainable Value Creation Through Partnerships,True,False,True,True,balanced,least biased,fr,
2886,Globalsecurity.org,17 October 2023 - Daily Press Briefing by the Office of the Spokesperson for the Secretary-General,True,False,,,balanced,least biased,us,
2910,Gizmodo.com,The Pope Leads 1.4 Billion Catholics. Getting Them to Care About the Climate Is Harder Than He Thought,True,False,True,True,balanced,left,us,Skews Left
3096,Euronews,The world shares a common destiny. It's our responsibility to shape it for the better,True,False,True,True,cost,left-center,eu,Middle
3142,BBC News,Ghana floods: ‘My entire farm is under the water and so is my house’,True,False,True,False,cost,left-center,gb,Middle
3169,Phys.Org,Is planting trees to combat climate change 'complete nonsense'?,True,False,True,True,balanced,pro-science,gb,Middle
3184,Al Jazeera English,Can planting trees really help fight climate change?,True,False,True,True,cost,left-center,us,Skews Left
3310,RT,‘Three Basins Summit’ concludes in the Congo,True,False,True,True,cost,right-center,ru,Skews Right
3444,Marketscreener.com,Ghana looks to market more oil and gas blocks,True,False,,True,balanced,least biased,fr,
3955,Al Jazeera English,Interwoven struggles: The green paradox meets the Palestine paradox,True,False,True,False,cost,left-center,us,Skews Left
4717,Phys.Org,Boom in 'ice ivory' trade of mammoth tusks presents new threat to elephants and environment,True,False,True,True,balanced,pro-science,gb,Middle
5199,Euronews,People power must be at the core of all clean energy plans,True,False,True,True,balanced,left-center,eu,Middle
5925,Euronews,We have entered the age of ‘climate war’. Crimes against the environment must be prosecuted,True,False,True,True,cost,left-center,eu,Middle
6332,The Indian Express,Climate finance needs private funding too. This is how it can be done,True,False,True,True,cost,left-center,in,Middle
7024,Phys.Org,"Give abandoned croplands a second chance to boost climate mitigation and food security, urges new study",True,False,True,True,opportunity,pro-science,gb,Middle
7162,Marketscreener.com,Energy-starved Africa needs fairer climate treatment: OPEC sec gen,True,False,True,False,cost,least biased,fr,
7220,The Times of India,Low-income countries could lose 30 per cent seafood nutrients from climate change: Study,True,False,True,False,cost,right-center,in,Middle
8046,BBC News,What is COP28 in Dubai and why is it important?,True,False,True,True,balanced,left-center,gb,Middle
10808,Phys.Org,6 reasons why global temperatures are spiking right now,True,False,True,False,cost,pro-science,gb,Middle
9549,ABC News,Slovakia president rejects nomination of opponent of climate change policy as environment minister,True,False,True,False,cost,left-center,us,Middle
9663,International Business Times,Largest Climate Fund Seeks New Funding For Vulnerable,True,False,True,True,cost,left-center,us,Middle
9722,Business Insider,Why IPAs are about to get more expensive,True,False,True,True,cost,left-center,us,Middle
9831,CNN,The climate crisis is coming for your hoppy beer,True,False,True,False,cost,left-center,us,Skews Left
10117,Business Insider,Swedish architects are building skyscrapers out of wood laminates glued together. The material is shockingly sturdy.,True,False,True,True,opportunity,left-center,us,Middle
10148,ABC News,Greta Thunberg charged with public order offense in UK after arrest outside oil event,True,False,True,False,cost,left-center,us,Middle
10155,Time,Greta Thunberg Among Climate Activists Detained For Disrupting A Major Oil Conference,True,False,True,True,cost,left-center,us,Skews Left
10389,NPR,Innovators share what helped convince them to take climate action,True,False,True,True,opportunity,left-center,us,Middle
10428,Al Jazeera English,Police detain climate activist Greta Thunberg at London protest,True,False,True,True,cost,left-center,us,Skews Left
11027,The Indian Express,"UPSC Essentials | Weekly news express — Global Hunger Index, Periodic Labour Force Survey, and more: Key takeaways and Points to ponder",True,False,True,True,balanced,left-center,in,Middle
11083,The Times of India,Six reasons why global temperatures are spiking right now,True,False,True,False,cost,right-center,in,Middle
11228,Phys.Org,Canada's wildfires take devastating toll on wildlife,True,False,True,True,cost,pro-science,gb,Middle
11943,Forbes,California Governor Discusses Climate With China’s President Ahead Of Closely Watched APEC Meeting,True,False,True,True,balanced,right-center,us,Middle
11944,Phys.Org,Examining how Mei-yu precipitation responds to climate change,True,False,True,False,cost,pro-science,gb,Middle
12024,Globalsecurity.org,California Governor to Visit China Amid Efforts to Stabilize Bilateral Ties,True,False,True,True,cost,least biased,us,
12107,International Business Times,"Green Groups Target TotalEnergies Over Tanzania, Uganda Projects",True,False,True,False,cost,left-center,us,Middle
12208,Forbes,Leading Through Disruption: Leaders Needs These Skills To Navigate The Future,True,False,True,True,opportunity,right-center,us,Middle
12516,BBC News,Does the paper industry need to cut its water usage?,True,False,True,False,cost,left-center,gb,Middle
12962,NPR,"A man, a plan, wind power, Uruguay",True,False,True,True,opportunity,left-center,us,Middle
13254,ReadWrite,Amazon expands eco-friendly electric vehicle fleet,True,False,True,True,opportunity,,us,
13551,Phys.Org,Climate change affecting ability to prevent US wildfires: study,True,False,True,True,cost,pro-science,gb,Middle
13561,NPR,Here's how Americans feel about climate change,True,False,True,True,cost,left-center,us,Middle
13640,Phys.Org,"Federal forecasters predict warm, wet US winter but less snow because of El Nino, climate change",True,False,True,True,balanced,pro-science,gb,Middle
14433,Phys.Org,Island nations sign climate solidarity declaration in Indonesia,True,False,True,True,cost,pro-science,gb,Middle
15079,Phys.Org,Disasters cause $3.8 tn in crop loses over 30 years: FAO,True,False,True,True,cost,pro-science,gb,Middle
15209,Phys.Org,Climate-driven extreme heat may make parts of Earth too hot for humans,True,False,True,False,cost,pro-science,gb,Middle
15478,Phys.Org,"Researchers explore future climate in Africa, using clues from the past",True,False,True,True,cost,pro-science,gb,Middle
15613,Phys.Org,Paving a way to green hydrogen production,True,False,True,True,opportunity,pro-science,gb,Middle
15675,Phys.Org,Climate hazards aren't restricted by borders—African countries have taken a big step to address this,True,False,True,True,balanced,pro-science,gb,Middle
15836,GlobeNewswire,"Barrick Strengthens Zambia Partnership, Invests in Major Expansion of Lumwana Mine",True,False,True,False,cost,least biased,us,
15938,The Punch,FG in talks with W’Bank for $1.5bn budget support loan – Edun,True,False,True,True,balanced,left-center,ng,
16122,Marketscreener.com,Key takeaways from the IMF/World Bank meetings,True,False,True,True,cost,least biased,fr,
16374,GlobeNewswire,Blue Carbon's Landmark Zimbabwe Deal Highlights Growing Significance of Forest Carbon Markets,True,False,True,True,opportunity,least biased,us,
16535,Gizmodo.com,"Snow Across the Northern Hemisphere Will Get Whiter, Study Says",True,False,True,True,cost,left,us,Skews Left
16536,BBC News,World breaches key 1.5C warming mark for record number of days,True,False,True,True,cost,left-center,gb,Middle
16538,BBC News,Climate change: Pope Francis warns world 'may be nearing breaking point',True,False,True,False,cost,left-center,gb,Middle
16598,NPR,A bad apple season has some U.S. fruit growers planning for life in a warmer world,True,False,True,True,cost,left-center,us,Middle
16654,BBC News,Carbon emissions threaten 1.5C climate threshold sooner than thought - report,True,False,True,False,cost,left-center,gb,Middle
16686,Wired,DeepMind Wants to Use AI to Solve the Climate Crisis,True,False,True,True,opportunity,left-center,us,Skews Left
16881,Time,Earth Will Lock in 1.5°C of Warming By 2029 At Current Rate of Burning Fossil Fuels,True,False,True,True,cost,left-center,us,Skews Left
16883,Time,"Saleemul Huq, Pioneering Climate Scientist and Advocate for Poorer Nations, Dies at 71",True,False,True,True,cost,left-center,us,Skews Left
17001,Phys.Org,Cleaner air brings wetter weather in High Mountain Asia,True,False,True,True,cost,pro-science,gb,Middle
17349,Business Insider,"Data centers are sprouting up as a result of the AI boom, minting fortunes, sucking up energy, and changing rural America",True,False,True,False,cost,left-center,us,Middle
17404,Gizmodo.com,"U.S. Electric Grid Will Get a $3.5 Billion Upgrade, DOE Announces",True,False,True,True,opportunity,left,us,Skews Left
17435,NPR,Climate rules are coming for corporate America,True,False,True,True,cost,left-center,us,Middle
17700,Time,Kevin McCarthy is Blaming Biden’s Climate Policy for the Attacks in Israel,True,False,True,True,cost,left-center,us,Skews Left
17906,Business Insider,"We already have the tools we need to fight the climate crisis — but a 'green transition' will still take time, 5 sustainability leaders say",True,False,True,True,cost,left-center,us,Middle
18133,Business Insider,3D-printed vegan salmon hits the European market,True,False,True,True,balanced,left-center,us,Middle
18169,BBC News,France's highest mountain Mont Blanc is shrinking,True,False,True,True,cost,left-center,gb,Middle
18377,Phys.Org,The human factor: Why Australia's net zero transition risks failing unless it is fair,True,False,True,False,balanced,pro-science,gb,Middle
19750,Gizmodo.com,Here's Where NYC Is Sinking,True,False,True,False,cost,left,us,Skews Left
19786,BBC News,Climate change could make beer taste worse,True,False,True,True,cost,left-center,gb,Middle
19861,Time,September Heat Sets ‘Mind-Blowing’ Global Temperature Record,True,False,True,False,cost,left-center,us,Skews Left
19924,Phys.Org,Hot weather hits productivity—even in air-conditioned factories,True,False,True,False,cost,pro-science,gb,Middle
19908,Phys.Org,Indonesian urban poor suffer the most in extreme weather caused by climate change,True,False,True,True,cost,pro-science,gb,Middle
20001,Phys.Org,Climate change is improving French wine—for now,True,False,True,True,cost,pro-science,gb,Middle
20020,Time,We’re About To Find Out Which Companies Are Truly Leading on Climate Change,True,False,True,True,cost,left-center,us,Skews Left
20024,Phys.Org,Life on Earth under 'existential threat': climate scientists,True,False,True,True,cost,pro-science,gb,Middle
20026,Phys.Org,Climate network analysis helps pinpoint regions at higher risk of extreme weather,True,False,True,True,opportunity,pro-science,gb,Middle
20027,Phys.Org,New map shows how climate change affects your community and its vulnerability to weather,True,False,True,True,cost,pro-science,gb,Middle
20043,Phys.Org,Eastern Canada breaks autumn heat records,True,False,True,False,cost,pro-science,gb,Middle
20098,Phys.Org,Drought in the Amazon: Understanding the causes and the need for an immediate action plan to save the biome,True,False,True,True,cost,pro-science,gb,Middle
20105,NPR,The military is turning to microgrids to fight global threats — and global warming,True,False,True,True,balanced,left-center,us,Middle
21605,Time,Compostable Dog Poop Bags Aren’t Really That Compostable,True,False,True,True,cost,left-center,us,Skews Left
22131,Phys.Org,How Belize became a poster child for 'debt-for-nature' swaps,True,False,True,True,cost,pro-science,gb,Middle
22379,Time,What Happens When Diners Are Shown Climate Warning Labels on Meat Dishes,True,False,True,False,cost,left-center,us,Skews Left
22790,Time,Biden Awards $7 Billion for Clean Hydrogen Hubs to Help Replace Fossil Fuels,True,False,True,True,cost,left-center,us,Skews Left
22919,Business Insider,The marketing failure that's going to kill us all,True,False,True,True,cost,left-center,us,Middle
26052,Time,How Dog Hair Is Making a Resurgence as a Sustainable Textile,True,False,True,True,balanced,left-center,us,Skews Left
26914,Boing Boing,"September's global temperature data: ""Absolutely gobsmackingly bananas""",True,False,True,False,cost,left,us,Strong Left
26924,Phys.Org,Could 'marine cloud brightening' reduce coral bleaching on the Great Barrier Reef?,True,False,True,True,cost,pro-science,gb,Middle
26926,Phys.Org,Targets to end fossil fuel at COP28 crucial: EU climate chief,True,False,True,True,cost,pro-science,gb,Middle
26950,NPR,"Antarctica is melting and we all need to adapt, a trio of climate analyses show",True,False,True,True,cost,left-center,us,Middle
27212,Phys.Org,"Secondary education needs to empower students to respond to climate emergency, says UK report",True,False,True,True,cost,pro-science,gb,Middle
29701,Gizmodo.com,U.S. Endangered Species List Gets 21 Species Smaller (in the Bad Way),True,False,True,False,cost,left,us,Skews Left
31123,Time,Americans Are Still Putting Way Too Much Food Into Landfills. Local Officials Seek EPA’s Help,True,False,True,True,cost,left-center,us,Skews Left
31867,Wired,The Surprising Way Clean Energy Will Help Save the Snowpack,True,False,True,False,cost,left-center,us,Skews Left
31872,NPR,People working on climate solutions are facing a big obstacle: conspiracy theories,True,False,True,True,balanced,left-center,us,Middle
31880,NPR,Individual actions you can take to address climate change,True,False,True,True,opportunity,left-center,us,Middle
31884,NPR,"It's unlikely, but not impossible, to limit global warming to 1.5 Celsius, study finds",True,False,True,True,cost,left-center,us,Middle
31927,Boing Boing,Climate protestors chase Pete Buttigieg off a stage at Baltimore event (video),True,False,True,True,cost,left,us,Strong Left
31954,Phys.Org,What tiny fossils can tell us about the changing climate,True,False,True,True,balanced,pro-science,gb,Middle
31971,ABC News,Montana is appealing a landmark climate change ruling that favored youth plaintiffs,True,False,True,True,cost,left-center,us,Middle
31988,Time,The U.S. Energy Department Is Spending $36 Million On Ocean Carbon-Capture Research,True,False,True,True,opportunity,left-center,us,Skews Left
31995,Time,"Go Midwest, Young Man",True,False,True,True,opportunity,left-center,us,Skews Left
32007,ReadWrite,AI and audio used to track forest biodiversity,True,False,True,True,balanced,,us,
32014,Time,Major Oil Deals Can’t Stop The Green Transition,True,False,True,True,cost,left-center,us,Skews Left
32047,Time,"Oil Industry to Act on Methane and Flaring, COP28 Chief Says",True,False,True,True,cost,left-center,us,Skews Left
32055,Phys.Org,Remember the climate map from your school atlas? Here's what climate change is doing to it,True,False,True,True,cost,pro-science,gb,Middle
32057,Phys.Org,Why young workers are leaving fossil fuel jobs—and what to do if you feel like 'climate quitting',True,False,True,True,cost,pro-science,gb,Middle
32120,Phys.Org,Climate change coping mechanism discovered in algae,True,False,True,True,balanced,pro-science,gb,Middle
32077,ABC News,"21 species declared extinct, delisted from Endangered Species Act",True,False,True,True,cost,left-center,us,Middle
32085,Phys.Org,What to wear for a climate crisis,True,False,True,True,cost,pro-science,gb,Middle
32094,Phys.Org,"'Climate vulnerability index' shows where action, resources are needed to address climate change threats",True,False,True,True,cost,pro-science,gb,Middle
32101,Al Jazeera English,Climate leaders gather in Spain before ‘challenging’ COP28,True,False,True,True,cost,left-center,us,Skews Left
32109,Phys.Org,Researchers correct overestimation by 'hot model' climate projections on warming in China,True,False,,True,opportunity,pro-science,gb,Middle
